DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
EAST KHASI HI,0.0084574,0.0132352,0.0712285,0.1716184,0.4029326,0.8106980,0.8338734,0.5598330,0.3337910,0.1526168,0.0221319,0.0058762
EAST MIDNAPOR,0.0087319,0.0102147,0.0174639,0.0190565,0.0593662,0.1392169,0.1564611,0.1860069,0.1884782,0.1081333,0.0186721,0.0051074
EAST SIANG,0.0182877,0.0436597,0.0581581,0.1188972,0.1773848,0.4054588,0.5441814,0.3905761,0.3119337,0.1136251,0.0162008,0.0174090
EAST SIKKIM,0.0183975,0.0308089,0.0338843,0.0963809,0.1601955,0.2551486,0.2795321,0.2421879,0.1958372,0.0849580,0.0101049,0.0106541
EAST SINGHBHU,0.0080729,0.0101049,0.0113680,0.0175188,0.0347630,0.1238399,0.1612939,0.1717283,0.1239497,0.0375638,0.0068647,0.0028557
ERNAKULAM,0.0072492,0.0103246,0.0171344,0.0615080,0.1649734,0.3824482,0.3680598,0.2203855,0.1631611,0.1646988,0.0796310,0.0243835
ERODE,0.0036246,0.0052172,0.0092262,0.0244385,0.0445384,0.0151024,0.0213631,0.0316327,0.0581031,0.0872645,0.0606843,0.0248229
ETAH,0.0071393,0.0065901,0.0054369,0.0024164,0.0063705,0.0286122,0.1106596,0.1335054,0.0651326,0.0228458,0.0012631,0.0023615
ETAWAH,0.0076336,0.0064254,0.0048877,0.0015377,0.0057664,0.0334450,0.1219177,0.1611291,0.0833105,0.0247131,0.0015926,0.0032402
FAIZABAD,0.0102696,0.0068098,0.0039541,0.0024713,0.0103246,0.0675490,0.1903454,0.1700258,0.1156022,0.0280081,0.0015926,0.0048328
FARIDABAD,0.0090615,0.0067549,0.0057115,0.0058762,0.0088418,0.0231754,0.1107145,0.1288923,0.0668351,0.0102696,0.0032951,0.0036795
FARIDKOT,0.0088418,0.0078533,0.0093360,0.0044483,0.0076336,0.0197704,0.0659015,0.0570048,0.0358614,0.0053820,0.0020869,0.0041188
FARRUKHABAD,0.0082926,0.0060959,0.0043934,0.0027459,0.0070295,0.0403647,0.1350980,0.1550332,0.0777637,0.0286122,0.0013180,0.0018672
FATEHABAD,0.0091713,0.0060410,0.0061508,0.0037344,0.0081828,0.0171893,0.0572794,0.0526663,0.0282827,0.0068098,0.0019770,0.0027459
FATEHGARH SAH,0.0136746,0.0119721,0.0124114,0.0054918,0.0075238,0.0250426,0.1211489,0.0958866,0.0583777,0.0103795,0.0038992,0.0093360
FATEHPUR,0.0100500,0.0064254,0.0039541,0.0025811,0.0047229,0.0451425,0.1436103,0.1570652,0.1003899,0.0216377,0.0026910,0.0043385
FEROZEPUR,0.0086221,0.0079631,0.0116975,0.0051074,0.0084574,0.0171893,0.0705146,0.0684826,0.0372893,0.0067549,0.0028008,0.0053270
FIROZABAD,0.0073041,0.0059861,0.0041188,0.0020869,0.0056565,0.0326761,0.1191169,0.1417431,0.0778736,0.0194959,0.0015926,0.0027459
GADAG,0.0006590,0.0005492,0.0021418,0.0183975,0.0393761,0.0467351,0.0386622,0.0413532,0.0755121,0.0665056,0.0181229,0.0041188
GADCHIROLI,0.0052721,0.0041738,0.0076885,0.0067000,0.0093360,0.1148882,0.2493273,0.2424076,0.1089571,0.0377835,0.0061508,0.0035147
GAJAPATI,0.0052172,0.0192213,0.0352573,0.0434401,0.0751277,0.1107694,0.1323521,0.1433906,0.1243890,0.0778736,0.0330606,0.0028557
GANDERWAL,0.0311384,0.0377835,0.0571146,0.0476687,0.0373442,0.0205393,0.0305344,0.0334450,0.0166950,0.0174090,0.0159262,0.0243286
GANDHINAGAR,0.0004943,0.0003295,0.0003844,0.0002197,0.0037344,0.0397056,0.1540996,0.1226317,0.0765555,0.0101598,0.0036246,0.0014279
GANJAM,0.0073041,0.0124664,0.0166401,0.0227909,0.0468450,0.0872096,0.1203800,0.1345488,0.1155473,0.1089571,0.0388819,0.0048328
GARHWA,0.0087869,0.0052721,0.0058213,0.0037344,0.0057664,0.0663957,0.1582185,0.1607996,0.1241144,0.0288868,0.0014279,0.0029106
GARHWAL PAURI,0.0236696,0.0182327,0.0194959,0.0106541,0.0210336,0.0678236,0.2485035,0.2436707,0.1064309,0.0305893,0.0040639,0.0098303
GARHWAL TEHRI,0.0299852,0.0286671,0.0309188,0.0174090,0.0306991,0.0747982,0.2040200,0.2013839,0.0948432,0.0265803,0.0056565,0.0156516
GAUTAM BUDDHA,0.0105442,0.0051074,0.0068098,0.0027459,0.0032951,0.0202647,0.0997858,0.1255423,0.0689769,0.0196606,0.0018672,0.0029656
GAYA,0.0080180,0.0059861,0.0047779,0.0033500,0.0098852,0.0704047,0.1637103,0.1493218,0.0991268,0.0294909,0.0041188,0.0031303
GHAZIABAD,0.0107639,0.0100500,0.0098852,0.0033500,0.0068647,0.0244934,0.1172497,0.1403701,0.0702949,0.0203196,0.0027459,0.0044483
GHAZIPUR,0.0086221,0.0051623,0.0043934,0.0025811,0.0076336,0.0542589,0.1464660,0.1678840,0.1163161,0.0270196,0.0052721,0.0012631
GIRIDIH,0.0063156,0.0054369,0.0075238,0.0098852,0.0222967,0.1134055,0.1883135,0.1514636,0.1316931,0.0440991,0.0043934,0.0031303
GOALPARA,0.0069746,0.0112033,0.0280630,0.1079686,0.2195618,0.3118238,0.2761272,0.1837553,0.1674447,0.0866055,0.0119172,0.0028557
GODDA,0.0063156,0.0054369,0.0059861,0.0113680,0.0298753,0.0937449,0.1617332,0.1389423,0.1235653,0.0432204,0.0043934,0.0038992
GOLAGHAT,0.0092811,0.0162008,0.0358065,0.0746334,0.1348784,0.1396013,0.1728266,0.1490472,0.1149432,0.0569499,0.0107639,0.0080729
GONDA,0.0092811,0.0051623,0.0045582,0.0034598,0.0122467,0.0796310,0.1841946,0.1738701,0.1264210,0.0324565,0.0008787,0.0049426
GONDIA,0.0083475,0.0061508,0.0089516,0.0049975,0.0046131,0.0956121,0.2296117,0.2330166,0.1165907,0.0323466,0.0058762,0.0066451
GOPALGANJ,0.0081828,0.0057664,0.0038443,0.0068647,0.0173541,0.0853424,0.1701356,0.1671152,0.1210390,0.0306991,0.0032951,0.0039541
GORAKHPUR,0.0103795,0.0059861,0.0059861,0.0063156,0.0149377,0.0916580,0.2045143,0.2109946,0.1383931,0.0379483,0.0035147,0.0043385
GULBARGA,0.0023615,0.0015926,0.0034049,0.0108188,0.0199901,0.0619474,0.0857268,0.0920424,0.1010489,0.0578285,0.0114229,0.0024713
GUMLA,0.0121918,0.0112033,0.0104893,0.0140041,0.0258663,0.1257620,0.2046790,0.1884782,0.1384480,0.0375089,0.0071393,0.0047779
GUNA,0.0066451,0.0038992,0.0034598,0.0014828,0.0047229,0.0479433,0.1848536,0.1955077,0.0895711,0.0157065,0.0058213,0.0051074
GUNTUR,0.0030205,0.0042287,0.0042287,0.0082377,0.0320721,0.0495359,0.0808941,0.0853424,0.0824318,0.0790269,0.0416278,0.0079631
GURDASPUR,0.0329507,0.0274040,0.0295458,0.0141139,0.0116975,0.0313581,0.1782635,0.1756824,0.0693064,0.0204295,0.0060410,0.0141688
GURGAON,0.0056016,0.0064254,0.0038443,0.0035147,0.0076336,0.0208688,0.0928112,0.1017079,0.0439892,0.0069746,0.0030205,0.0023615
GWALIOR,0.0079631,0.0047229,0.0030205,0.0020320,0.0045033,0.0394311,0.1416882,0.1590971,0.0939645,0.0227909,0.0028008,0.0045033
HAILAKANDI,0.0040090,0.0230655,0.0679884,0.1312538,0.2285683,0.2583338,0.2343896,0.2234609,0.1740897,0.0827064,0.0200450,0.0049975
HAMIRPUR,0.0088418,0.0063156,0.0029106,0.0011533,0.0036795,0.0419024,0.1354275,0.1701356,0.0901752,0.0182877,0.0021418,0.0032951
HAMIRPUR,0.0400901,0.0337196,0.0324565,0.0148828,0.0234499,0.0786973,0.2113241,0.2148388,0.0876490,0.0225713,0.0076336,0.0170245
HANUMANGARH,0.0041188,0.0047229,0.0031303,0.0026910,0.0071393,0.0176836,0.0567851,0.0458015,0.0183975,0.0018672,0.0019770,0.0013180
HARDA,0.0049426,0.0034049,0.0017025,0.0004943,0.0035147,0.0605744,0.1870504,0.2085782,0.1162063,0.0203196,0.0077983,0.0050524
HARDOI,0.0099951,0.0071942,0.0052172,0.0031852,0.0092811,0.0479433,0.1452578,0.1474546,0.0920424,0.0316327,0.0014828,0.0035697
HARIDWAR,0.0181229,0.0197155,0.0166950,0.0067000,0.0119721,0.0580482,0.1825471,0.2015487,0.0861113,0.0163106,0.0024164,0.0080180
HASSAN,0.0007139,0.0013729,0.0058762,0.0302598,0.0561261,0.0686474,0.1119227,0.0713933,0.0634302,0.0856719,0.0297106,0.0059861
HAVERI,0.0001648,0.0002746,0.0021967,0.0239442,0.0431105,0.0629908,0.0932506,0.0610138,0.0546433,0.0653523,0.0241090,0.0038443
HAZARIBAG,0.0077434,0.0084024,0.0081278,0.0064254,0.0194959,0.0971498,0.1743643,0.1590422,0.1218628,0.0449228,0.0043385,0.0049426
HINGOLI,0.0027459,0.0026361,0.0039541,0.0033500,0.0073590,0.1017079,0.1336152,0.1404251,0.0905596,0.0363556,0.0099951,0.0051623
HISAR,0.0060410,0.0067000,0.0053270,0.0040639,0.0079631,0.0192762,0.0652425,0.0624966,0.0315229,0.0071393,0.0024713,0.0021967
HOOGHLY,0.0065352,0.0146082,0.0154868,0.0277885,0.0595859,0.1336702,0.1735955,0.1455873,0.1336152,0.0560712,0.0087869,0.0037893
HOSHANGABAD,0.0064803,0.0045582,0.0049975,0.0017574,0.0044483,0.0770498,0.2287880,0.2550387,0.1470701,0.0205393,0.0082377,0.0056016
HOSHIARPUR,0.0210885,0.0218573,0.0218573,0.0087869,0.0112033,0.0411335,0.1514086,0.1326267,0.0690867,0.0172991,0.0051074,0.0109836
HOWRAH,0.0067000,0.0136746,0.0175737,0.0288868,0.0694162,0.1280685,0.1884782,0.1808996,0.1678291,0.0544236,0.0171893,0.0055467
HYDERABAD,0.0032402,0.0040639,0.0080180,0.0112033,0.0185622,0.0607941,0.0970948,0.1046186,0.0908891,0.0525015,0.0130155,0.0035147
IDUKKI,0.0073590,0.0121369,0.0239442,0.0825965,0.1277390,0.3578450,0.4332473,0.2895821,0.1693668,0.1884782,0.0949530,0.0264155
IMPHAL EAST,0.0074139,0.0188368,0.0464056,0.0799055,0.1147235,0.2035806,0.1779340,0.1539898,0.1038497,0.0790818,0.0198254,0.0045033
IMPHAL WEST,0.0122467,0.0170245,0.0350376,0.0599154,0.0739195,0.1852381,0.1288923,0.1314185,0.0881432,0.0793564,0.0188368,0.0107090
INDORE,0.0032402,0.0012631,0.0009885,0.0006590,0.0045582,0.0661211,0.1487726,0.1465759,0.0996760,0.0210336,0.0077434,0.0031303
JABALPUR,0.0099951,0.0062606,0.0062606,0.0020320,0.0041738,0.0684277,0.1950135,0.2257675,0.1095612,0.0180680,0.0043385,0.0049426
JAGATSINGHAPU,0.0058762,0.0159262,0.0193860,0.0226811,0.0588171,0.1302653,0.1577791,0.1980339,0.1294415,0.0796859,0.0370696,0.0045033
JAHANABAD,0.0070295,0.0041738,0.0038443,0.0071942,0.0126860,0.0617826,0.1403701,0.1404800,0.1079137,0.0214729,0.0042287,0.0031852
JAINTIA HILLS,0.0185622,0.0242188,0.0632105,0.1550332,0.3288484,0.7227745,0.8739085,0.5128233,0.4537866,0.2843100,0.0609039,0.0053270
JAIPUR,0.0036795,0.0041188,0.0013180,0.0021418,0.0082377,0.0286122,0.1136251,0.1057170,0.0401450,0.0064803,0.0014828,0.0014279
JAISALMER,0.0009336,0.0015926,0.0012082,0.0020869,0.0036246,0.0106541,0.0325663,0.0312483,0.0125213,0.0017025,0.0008238,0.0005492
JAJPUR,0.0058213,0.0155967,0.0183975,0.0263606,0.0504695,0.1372947,0.1556922,0.1994618,0.1417431,0.0739195,0.0184524,0.0032402
JALANDHAR,0.0157065,0.0157065,0.0168598,0.0075238,0.0110934,0.0266352,0.1119776,0.1033006,0.0609589,0.0120270,0.0040090,0.0091164
JALAUN,0.0074139,0.0061508,0.0031303,0.0010984,0.0044483,0.0360811,0.1315284,0.1706848,0.0872645,0.0259212,0.0019770,0.0029106
JALGAON,0.0018123,0.0013180,0.0023615,0.0007689,0.0041188,0.0725465,0.1048932,0.1074194,0.0676039,0.0253172,0.0093910,0.0038443
JALNA,0.0017574,0.0010984,0.0024713,0.0014828,0.0096106,0.0765006,0.0906145,0.0878137,0.0780933,0.0336098,0.0132352,0.0044483
JALORE,0.0009885,0.0006041,0.0014279,0.0007689,0.0045033,0.0189467,0.0884727,0.0726015,0.0364655,0.0050524,0.0041738,0.0005492
JALPAIGURI,0.0050524,0.0097754,0.0218024,0.0655171,0.1863364,0.3664671,0.5115053,0.3684442,0.2681641,0.0878137,0.0098852,0.0039541
JAMMU,0.0309188,0.0365753,0.0378384,0.0204295,0.0219122,0.0350925,0.2013290,0.1777143,0.0584326,0.0172991,0.0086221,0.0190565
JAMNAGAR,0.0003295,0.0005492,0.0014828,0.0001648,0.0008238,0.0489318,0.1079686,0.0648031,0.0322368,0.0092262,0.0065901,0.0003844
JAMTARA,0.0079082,0.0113680,0.0101598,0.0089516,0.0364655,0.1149981,0.1901258,0.1879840,0.1625021,0.0700752,0.0069746,0.0030754
JAMUI,0.0055467,0.0045033,0.0049426,0.0051623,0.0192762,0.0897358,0.1712889,0.1391070,0.1225767,0.0389368,0.0049426,0.0020869
JANJGIR-CHAMP,0.0071942,0.0066451,0.0077983,0.0038443,0.0062057,0.0920424,0.2164314,0.2291175,0.1224669,0.0242188,0.0028557,0.0037893
JASHPUR,0.0107639,0.0116426,0.0075787,0.0098303,0.0173541,0.1346587,0.2353781,0.2292273,0.1413587,0.0414630,0.0049426,0.0039541
JAUNPUR,0.0083475,0.0057115,0.0037893,0.0025262,0.0064803,0.0500851,0.1673348,0.1404800,0.1221374,0.0176286,0.0040639,0.0030754
JHABUA,0.0014279,0.0001648,0.0004943,0.0004943,0.0042836,0.0594212,0.1321325,0.1363611,0.0813883,0.0214180,0.0068098,0.0019770
JHAJJAR,0.0068098,0.0068647,0.0053270,0.0041188,0.0058213,0.0188918,0.0874842,0.0830359,0.0397606,0.0060410,0.0018672,0.0025262
JHALAWAR,0.0037344,0.0012631,0.0018672,0.0007689,0.0038443,0.0461860,0.1569554,0.1844143,0.0820473,0.0148278,0.0063705,0.0030754
JHANSI,0.0077434,0.0057664,0.0029106,0.0025811,0.0047779,0.0433851,0.1492668,0.1701906,0.0973145,0.0204295,0.0036246,0.0035697
JHARSUGUDA,0.0091164,0.0116426,0.0102147,0.0101049,0.0201000,0.1233456,0.2209347,0.2283486,0.1313087,0.0350376,0.0055467,0.0039541
JHUNJHUNU,0.0042287,0.0049975,0.0034598,0.0027459,0.0113680,0.0290516,0.0840793,0.0790818,0.0329507,0.0073041,0.0019221,0.0029656
JIND,0.0090065,0.0102696,0.0068098,0.0029656,0.0081828,0.0223516,0.0781482,0.0807293,0.0470097,0.0086770,0.0028008,0.0026361
JODHPUR,0.0015926,0.0017025,0.0014828,0.0028557,0.0060959,0.0153221,0.0601351,0.0519523,0.0233401,0.0026910,0.0014828,0.0005492
JORHAT,0.0121918,0.0201549,0.0439892,0.1123620,0.1523422,0.1586029,0.2145642,0.1905102,0.1497611,0.0668351,0.0140590,0.0085672
JUNAGADH,0.0002746,0.0002197,0.0001648,0.0000549,0.0006590,0.1044538,0.1834807,0.0908891,0.0534900,0.0151573,0.0069746,0.0002197
JYOTIBA PHULE,0.0125213,0.0086221,0.0087319,0.0024164,0.0076336,0.0327860,0.1533857,0.1639299,0.0799055,0.0266901,0.0029106,0.0042836
KAITHAL,0.0097205,0.0083475,0.0068647,0.0030754,0.0046680,0.0231754,0.0704597,0.0769400,0.0403097,0.0077983,0.0021418,0.0026910
KALAHANDI,0.0026361,0.0082377,0.0084024,0.0140590,0.0242737,0.1304300,0.2023725,0.2041847,0.1262013,0.0397056,0.0073590,0.0026361
KAMRUP,0.0065901,0.0114229,0.0321819,0.0833105,0.1611291,0.2007249,0.1895217,0.1365808,0.1034653,0.0585425,0.0082926,0.0041188
KAMRUP METROP,0.0065901,0.0114229,0.0321819,0.0833105,0.1611291,0.2007249,0.1895217,0.1365808,0.1034653,0.0585425,0.0082926,0.0041188
KANCHIPURAM,0.0095008,0.0064803,0.0018123,0.0090065,0.0254270,0.0375638,0.0601351,0.0901203,0.0817178,0.1240046,0.1554177,0.0730408
KANDHAMAL/PHU,0.0069746,0.0143885,0.0163655,0.0198803,0.0374540,0.1096710,0.1752979,0.2049536,0.1264210,0.0629359,0.0187819,0.0022516
KANGRA,0.0455819,0.0440442,0.0466253,0.0219122,0.0247680,0.0799605,0.3202812,0.3401615,0.1284530,0.0264155,0.0086770,0.0223516
KANKER (NORH,0.0043385,0.0060959,0.0081278,0.0099401,0.0109287,0.1052776,0.2155527,0.2325224,0.1258169,0.0404745,0.0045582,0.0025811
KANNAUJ,0.0085123,0.0063156,0.0049426,0.0020320,0.0088967,0.0323466,0.1342743,0.1710143,0.0889121,0.0337196,0.0015926,0.0029656
KANPUR DEHAT,0.0074139,0.0062606,0.0030205,0.0014828,0.0034598,0.0388270,0.1301554,0.1590422,0.0920973,0.0243835,0.0015926,0.0030205
KANPUR NAGAR,0.0092262,0.0065352,0.0032951,0.0014279,0.0042287,0.0341589,0.1243341,0.1449283,0.0792465,0.0301499,0.0013729,0.0039541
KANSHIRAM NAG,0.0090615,0.0052172,0.0062606,0.0024164,0.0072492,0.0285573,0.1234005,0.1508045,0.0824867,0.0293262,0.0015926,0.0030754
KANYAKUMARI,0.0101049,0.0120819,0.0233401,0.0572794,0.0777088,0.1022022,0.0617826,0.0421220,0.0560712,0.1242792,0.1145587,0.0337745
KAPURTHALA,0.0151573,0.0115328,0.0141688,0.0052172,0.0077434,0.0203745,0.0913285,0.0749629,0.0454171,0.0172442,0.0029656,0.0058213
KARAIKAL,0.0292712,0.0235598,0.0093910,0.0093360,0.0178483,0.0274589,0.0325114,0.0451974,0.0557966,0.1514086,0.2609149,0.1634906
KARAULI,0.0049975,0.0042287,0.0019221,0.0013180,0.0054369,0.0278983,0.1210940,0.1481685,0.0528859,0.0093360,0.0029656,0.0020869
KARBI ANGLONG,0.0070295,0.0132352,0.0295458,0.0583777,0.0765555,0.1235104,0.1310890,0.1210940,0.1004448,0.0549728,0.0144434,0.0061508
KARGIL,0.0140590,0.0140590,0.0137844,0.0108188,0.0120819,0.0030205,0.0063705,0.0131803,0.0047229,0.0079631,0.0113131,0.0112582
KARIMGANJ,0.0072492,0.0193311,0.0931957,0.1869405,0.3317041,0.3543303,0.3547696,0.2405404,0.2299412,0.1320226,0.0476687,0.0072492
KARIMNAGAR,0.0059311,0.0030754,0.0059311,0.0086221,0.0131803,0.0841342,0.1413038,0.1244989,0.0895711,0.0471745,0.0114229,0.0032402
KARNAL,0.0166401,0.0117524,0.0106541,0.0048877,0.0071942,0.0331155,0.1086276,0.1231808,0.0519523,0.0143885,0.0032402,0.0067000
KARUR,0.0053270,0.0042836,0.0057115,0.0208688,0.0333901,0.0108737,0.0196057,0.0284475,0.0583777,0.0794113,0.0654072,0.0280081
KASARGOD,0.0012631,0.0005492,0.0046131,0.0257565,0.1195013,0.5489593,0.6087649,0.3494426,0.1444890,0.1290021,0.0464605,0.0101049
KATHUA,0.0470646,0.0324016,0.0249327,0.0109836,0.0068647,0.0343237,0.2129716,0.2219781,0.0700203,0.0159262,0.0047229,0.0142787
KATIHAR,0.0067549,0.0040639,0.0050524,0.0135098,0.0527212,0.1165358,0.1971003,0.1481685,0.1477291,0.0407491,0.0027459,0.0022516
KATNI,0.0109287,0.0075238,0.0049975,0.0012082,0.0018123,0.0616179,0.1946290,0.2147839,0.1063211,0.0169696,0.0027459,0.0031303
KAUSHAMBI,0.0085123,0.0064254,0.0044483,0.0018672,0.0040639,0.0398704,0.1421275,0.1471800,0.0912735,0.0198254,0.0036246,0.0040090
KENDRAPARA,0.0046131,0.0179032,0.0204295,0.0152672,0.0497007,0.1130210,0.1413587,0.1991323,0.1442693,0.0987973,0.0385524,0.0030205
KEONDJHARGARH,0.0088967,0.0174639,0.0203196,0.0275688,0.0555769,0.1279038,0.1525070,0.1758471,0.1239497,0.0623867,0.0134549,0.0031303
KEPHRIE,0.0130155,0.0147180,0.0360811,0.0973145,0.1239497,0.1923774,0.2426273,0.1934208,0.1327915,0.0672744,0.0228458,0.0058762
KHAGARIA,0.0052172,0.0023066,0.0042287,0.0084574,0.0254270,0.1010489,0.1707947,0.1634906,0.1455324,0.0451425,0.0038443,0.0021418
KHAMMAM,0.0024713,0.0038992,0.0058213,0.0130705,0.0288868,0.0825416,0.1553078,0.1408095,0.0938547,0.0587072,0.0134549,0.0024713
KHANDWA,0.0040090,0.0022516,0.0031852,0.0010984,0.0053270,0.0688121,0.1472349,0.1532209,0.0979735,0.0194409,0.0080180,0.0056565
KHARGONE,0.0027459,0.0015377,0.0011533,0.0007689,0.0038992,0.0722170,0.1258718,0.1303202,0.0881432,0.0172991,0.0058762,0.0042836
KHEDA,0.0006590,0.0002197,0.0007139,0.0002197,0.0024713,0.0605744,0.1598111,0.1426767,0.0826514,0.0098852,0.0062057,0.0007689
KHERI LAKHIMP,0.0117524,0.0088967,0.0064803,0.0035697,0.0159811,0.0721621,0.1632160,0.1665660,0.1066506,0.0350376,0.0010984,0.0046131
KHUNTI(RANCHI,0.0124114,0.0134000,0.0132901,0.0095557,0.0249327,0.1336152,0.2085782,0.1979790,0.1469054,0.0392114,0.0092811,0.0051623
KHURDA,0.0055467,0.0142237,0.0147729,0.0169696,0.0373442,0.1023670,0.1706848,0.1863364,0.1381185,0.0920973,0.0249876,0.0035697
KINNAUR,0.0560712,0.0592015,0.0625515,0.0425065,0.0381130,0.0203745,0.0411884,0.0446483,0.0388819,0.0194409,0.0096106,0.0267450
KISHANGANJ,0.0056016,0.0045033,0.0096106,0.0283926,0.0855072,0.2021528,0.3180295,0.2545445,0.1893569,0.0441540,0.0037344,0.0025262
KISTWAR,0.0655720,0.0888572,0.1172497,0.0700203,0.0551376,0.0398704,0.0803998,0.0690867,0.0530507,0.0224614,0.0255368,0.0461860
KODAGU,0.0019221,0.0023066,0.0101598,0.0493163,0.0838596,0.2977648,0.4856939,0.2986984,0.1160964,0.1107694,0.0393212,0.0096106
KODERMA,0.0115328,0.0066451,0.0071393,0.0054918,0.0156516,0.0948432,0.1487726,0.1471800,0.1197210,0.0475040,0.0045033,0.0040090
KOHIMA,0.0067549,0.0158164,0.0306442,0.0493163,0.0889670,0.1692570,0.2006700,0.2065462,0.1418529,0.0715031,0.0174639,0.0033500
KOKRAJHAR,0.0059861,0.0153221,0.0251524,0.1188423,0.2532264,0.4515350,0.4746005,0.3718491,0.2542149,0.0875940,0.0099401,0.0033500
KOLAR,0.0014828,0.0024713,0.0057115,0.0152672,0.0408589,0.0347630,0.0419573,0.0500851,0.0833654,0.0813883,0.0322917,0.0118623
KOLASIB,0.0073590,0.0219672,0.0722720,0.1007743,0.1737602,0.2403207,0.2371904,0.2488879,0.2030864,0.1207095,0.0274040,0.0070844
KOLHAPUR,0.0005492,0.0004393,0.0025262,0.0142237,0.0330606,0.1930364,0.3974408,0.2620682,0.1017079,0.0686474,0.0166950,0.0040090
KOLKATA,0.0079082,0.0135647,0.0183975,0.0291614,0.0622769,0.1528365,0.1982536,0.1840848,0.1683783,0.0852875,0.0136196,0.0048877
KOLLAM,0.0096106,0.0185073,0.0343786,0.0870449,0.1364710,0.2513592,0.2185732,0.1420726,0.1196661,0.1991872,0.1215882,0.0299303
KOPPAL,0.0006590,0.0002197,0.0013729,0.0105442,0.0277335,0.0396507,0.0415179,0.0489318,0.0800154,0.0593662,0.0141688,0.0043934
KORAPUT,0.0028557,0.0067549,0.0089516,0.0292163,0.0490966,0.1102751,0.2109396,0.2254380,0.1468505,0.0810588,0.0175188,0.0020869
KORBA,0.0094459,0.0084574,0.0086770,0.0068098,0.0067000,0.1006096,0.2250535,0.2387281,0.1185128,0.0258663,0.0077983,0.0042287
KORIYA,0.0087319,0.0039541,0.0053820,0.0023615,0.0031852,0.0877039,0.2136855,0.2102257,0.1138448,0.0160360,0.0035147,0.0032402
KOTA,0.0037344,0.0017574,0.0017574,0.0013729,0.0037893,0.0383327,0.1511341,0.1520127,0.0683728,0.0136746,0.0058213,0.0019221
KOTTAYAM,0.0071393,0.0136746,0.0232303,0.0747433,0.1547586,0.3564721,0.3247844,0.2119831,0.1487177,0.1738701,0.0974244,0.0225713
KOWARDHA (KAB,0.0069197,0.0076336,0.0076885,0.0041738,0.0091713,0.0779285,0.1544291,0.1571201,0.0953924,0.0323466,0.0060959,0.0063705
KOZHIKODE,0.0012631,0.0021418,0.0082926,0.0444286,0.1409193,0.4919545,0.5245758,0.2750837,0.1379538,0.1439398,0.0714482,0.0164754
KRISHNA,0.0025262,0.0034598,0.0047779,0.0092811,0.0257016,0.0663957,0.1189522,0.1066506,0.0931957,0.0901752,0.0363007,0.0066451
KRISHNAGIRI,0.0026910,0.0031852,0.0067549,0.0219122,0.0545884,0.0306991,0.0414081,0.0529409,0.0940744,0.0971498,0.0427810,0.0190016
KUDDAPAH,0.0010434,0.0013180,0.0025811,0.0095008,0.0261409,0.0383327,0.0555220,0.0596408,0.0684277,0.0754023,0.0423966,0.0134000
KULGAM/(ANT),0.0416827,0.0387720,0.0724367,0.0717228,0.0588171,0.0228458,0.0438794,0.0432753,0.0376737,0.0209237,0.0152672,0.0153770
KULLU,0.0477237,0.0532704,0.0742490,0.0436597,0.0395958,0.0452523,0.1014883,0.0911088,0.0475589,0.0175737,0.0128508,0.0232303
KUPWARA,0.0478335,0.0693613,0.1321325,0.0850129,0.0546982,0.0324016,0.0483278,0.0410237,0.0172991,0.0280630,0.0285573,0.0373442
KURNOOL,0.0006590,0.0010434,0.0031303,0.0100500,0.0283926,0.0442089,0.0635949,0.0682629,0.0766654,0.0579933,0.0155967,0.0036246
KURUKSHETRA,0.0157614,0.0106541,0.0118073,0.0053820,0.0056016,0.0364106,0.1110989,0.1116481,0.0500302,0.0129057,0.0028557,0.0055467
KURUNG KUMEY,0.0454171,0.0384425,0.0704047,0.1349333,0.1490472,0.1607447,0.2218683,0.1517382,0.1556922,0.0506892,0.0177385,0.0232852
KUSHINAGAR,0.0084024,0.0055467,0.0059861,0.0069746,0.0198254,0.1002801,0.2028667,0.2007798,0.1322423,0.0392114,0.0023066,0.0041188
KUTCH,0.0003295,0.0003844,0.0009336,0.0001098,0.0015377,0.0247680,0.0832006,0.0570597,0.0333901,0.0068647,0.0042287,0.0007139
LADAKH (LEH),0.0044483,0.0040090,0.0048328,0.0043934,0.0043934,0.0020869,0.0071942,0.0077434,0.0047229,0.0039541,0.0019770,0.0021967
LAHUL & SPITI,0.0729310,0.0752924,0.0969850,0.0598056,0.0503597,0.0287770,0.0903399,0.0768301,0.0556867,0.0286671,0.0162557,0.0338843
LAKHIMPUR,0.0152123,0.0266901,0.0421220,0.0908891,0.1822725,0.2901313,0.3323631,0.2567961,0.2329068,0.0770498,0.0126311,0.0112033
LAKHISARAI,0.0070844,0.0038443,0.0054918,0.0078533,0.0246581,0.0908891,0.1678840,0.1488824,0.1272448,0.0392114,0.0035697,0.0031852
LAKSHADWEEP,0.0114229,0.0080729,0.0064803,0.0268549,0.0942940,0.1813389,0.1579988,0.1194464,0.0895711,0.0862760,0.0646384,0.0322917
LALITPUR,0.0115328,0.0051623,0.0035697,0.0018672,0.0037344,0.0473392,0.1766709,0.1966610,0.0951727,0.0187270,0.0036795,0.0040639
LATEHAR,0.0091164,0.0102147,0.0112033,0.0049426,0.0124664,0.0925916,0.1871053,0.1584381,0.1230161,0.0365753,0.0042836,0.0043934
